Stock File,Total Rows,Duplicate Pairs,Row1,Row2,Date,Action,Qty,Price1,Price2,Cost1,Cost2,Exch1,Exch2
Avanti Feeds.xlsx,104,12,89,90,2019-12-19 00:00:00,Buy,5,581.792,581.792,2914.03,2914.03,NSE,NSE
Bharat Electronics Ltd.xlsx,8,0
Bharat Wire Ropes Ltd.xlsx,41,38,18,26,2024-01-10 00:00:00,Sell,9.0,360.24,360.19,3242.12,3241.67,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,20,23,2024-01-10 00:00:00,Sell,7.0,360.19,360.19,2521.3,2521.3,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,20,25,2024-01-10 00:00:00,Sell,7.0,360.19,360.19,2521.3,2521.3,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,20,31,2024-01-10 00:00:00,Sell,7.0,360.19,360.19,2521.3,2521.3,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,20,34,2024-01-10 00:00:00,Sell,7.0,360.19,360.19,2521.3,2521.3,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,20,35,2024-01-10 00:00:00,Sell,7.0,360.19,360.19,2521.3,2521.3,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,21,22,2024-01-10 00:00:00,Sell,1.0,360.2,360.2,360.2,360.2,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,21,24,2024-01-10 00:00:00,Sell,1.0,360.2,360.2,360.2,360.2,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,21,27,2024-01-10 00:00:00,Sell,1.0,360.2,360.2,360.2,360.2,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,21,29,2024-01-10 00:00:00,Sell,1.0,360.2,360.2,360.2,360.2,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,21,30,2024-01-10 00:00:00,Sell,1.0,360.2,360.2,360.2,360.2,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,21,32,2024-01-10 00:00:00,Sell,1.0,360.2,360.2,360.2,360.2,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,22,24,2024-01-10 00:00:00,Sell,1.0,360.2,360.2,360.2,360.2,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,22,27,2024-01-10 00:00:00,Sell,1.0,360.2,360.2,360.2,360.2,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,22,29,2024-01-10 00:00:00,Sell,1.0,360.2,360.2,360.2,360.2,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,22,30,2024-01-10 00:00:00,Sell,1.0,360.2,360.2,360.2,360.2,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,22,32,2024-01-10 00:00:00,Sell,1.0,360.2,360.2,360.2,360.2,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,23,25,2024-01-10 00:00:00,Sell,7.0,360.19,360.19,2521.3,2521.3,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,23,31,2024-01-10 00:00:00,Sell,7.0,360.19,360.19,2521.3,2521.3,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,23,34,2024-01-10 00:00:00,Sell,7.0,360.19,360.19,2521.3,2521.3,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,23,35,2024-01-10 00:00:00,Sell,7.0,360.19,360.19,2521.3,2521.3,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,24,27,2024-01-10 00:00:00,Sell,1.0,360.2,360.2,360.2,360.2,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,24,29,2024-01-10 00:00:00,Sell,1.0,360.2,360.2,360.2,360.2,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,24,30,2024-01-10 00:00:00,Sell,1.0,360.2,360.2,360.2,360.2,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,24,32,2024-01-10 00:00:00,Sell,1.0,360.2,360.2,360.2,360.2,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,25,31,2024-01-10 00:00:00,Sell,7.0,360.19,360.19,2521.3,2521.3,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,25,34,2024-01-10 00:00:00,Sell,7.0,360.19,360.19,2521.3,2521.3,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,25,35,2024-01-10 00:00:00,Sell,7.0,360.19,360.19,2521.3,2521.3,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,27,29,2024-01-10 00:00:00,Sell,1.0,360.2,360.2,360.2,360.2,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,27,30,2024-01-10 00:00:00,Sell,1.0,360.2,360.2,360.2,360.2,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,27,32,2024-01-10 00:00:00,Sell,1.0,360.2,360.2,360.2,360.2,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,29,30,2024-01-10 00:00:00,Sell,1.0,360.2,360.2,360.2,360.2,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,29,32,2024-01-10 00:00:00,Sell,1.0,360.2,360.2,360.2,360.2,NSE,NSE
Bharat Wire Ropes Ltd.xlsx,41,38,30,32,2024-01-10 00:00:00,Sell,1.0,360.2,360.2,360.2,360.2,NSE,NSE
